Brand,Model,Processor,Generation,Operating System,RAM,Storage,Size,Warranty,Color,Star Rating,No. of Ratings,No. of Reviews,Price
MSI,MSI Crosshair,Intel Core i7,14th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Grey,4.6,1376,323,140990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Grey,4.3,1709,125,49990
HP,HP Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.2,1110,126,53990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.3,1544,289,36990
Acer,Acer Aspire,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Silver,4.2,1380,182,29990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.1,1345,227,49690
Acer,Acer One Intel Core i,Intel Core i3,11th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Black,4.2,1974,277,28990
Acer,Acer Swift Go,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.3,1294,269,59990
Apple,Apple MacBook AIR Apple M,Intel Core i5,13th Gen,Mac OS Operating System,8 GB,256,34.54,1,Black,4.7,1888,256,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.5,371,266,61990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.4,716,287,76190
MSI,MSI Modern,AMD Ryzen 3,13th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Blue,4.3,1488,268,32990
HP,HP,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.2,580,132,32490
HP,HP,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,100.58,2,Metallic Black,4.3,1732,310,34990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.2,337,328,47990
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.3,1373,196,47990
Lenovo,Lenovo LOQ AMD Ryzen,AMD Ryzen 7,13th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Silver,4.5,1121,210,85690
Acer,Acer Aspire,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.4,1937,115,61990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,2,Grey,4.7,380,122,84990
HP,HP Omen AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.89,1,Grey,4.7,1935,234,102990
Acer,Acer Predator Neo Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Grey,4.5,1582,125,119990
HP,HP Backlit Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Black,4.2,1019,195,49990
