Model,Star Rating,No. of Ratings,No. of Reviews,OS,,Size,Screen Size,Warranty,Color,Price
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,4.6,1376,323,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Grey,"1,40,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1709,125,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Grey,"49,990"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,1110,126,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Blue,"53,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",4.3,1544,289,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"36,990"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,4.2,1380,182,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Silver,"29,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1345,227,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"49,690"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,4.2,1974,277,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Black,"28,990"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,4.3,1294,269,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Black,"59,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,4.7,1888,256,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year warranty,Black,"84,990"
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,4.5,371,266,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"61,990"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.4,716,287,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Blue,"76,190"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1488,268,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Blue,"32,990"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,4.2,580,132,64 bit Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Blue,"32,490"
